-4	0	c4
4	0	c4
0	4	c4
0	4	c4
-3	2.64575	c4
3	2.64575	c4
2.64575	3	c4
-2.64575	-3	c4
-2.64575	3	c4
2.64575	-3	c4
-3	-2.64575	c4
3	-2.64575	c4
2	3.4641	c4
2	-3.4641	c4
-2	3.4641	c4
-2	-3.4641	c4
3.4641	2	c4
-3.4641	2	c4
3.4641	-2	c4
-3.4641	-2	c4
1	3.87298	c4
1	-3.87279	c4
-1	3.87298	c4
-1	-3.87279	c4
3.6	1.93649	c4
3.6	-1.93649	c4
-3.6	1.93649	c4
-3.6	-1.93649	c4
3.87298	1	c4
-3.87279	1	c4
3.87298	-1	c4
-3.87279	-1	c4
1.93649	3.6	c4
-1.93649	3.6	c4
1.93649	-3.6	c4
-1.93649	-3.6	c4
3.9	0.888819	c4
3.9	-0.88882	c4
-3.9	0.888819	c4
-3.9	-0.88882	c4
0.888819	3.9	c4
-0.88882	3.9	c4
0.888819	-3.9	c4
-0.88882	-3.9	c4
0.1	3.99875	c4
0.1	-3.99875	c4
-0.1	3.99875	c4
-0.1	-3.99875	c4
3.99875	0.1	c4
-3.99875	0.1	c4
3.99875	-0.1	c4
-3.99875	-0.1	c4
3.8	0.1	c4
-3.8	0.1	c4
3.8	-0.1	c4
-3.8	-0.1	c4
0.1	3.8	c4
0.1	-3.8	c4
-0.1	3.8	c4
-0.1	-3.8	c4
3.9	0.7	c4
3.9	-0.7	c4
-3.9	0.7	c4
-3.9	-0.7	c4
0.7	3.9	c4
-0.7	3.9	c4
0.7	-3.9	c4
-0.7	-3.9	c4
3.9	0	c4
-3.9	0	c4
0	3.9	c4
0	-3.9	c4
2.64575	2.9	c4
-2.64575	-2.9	c4
-2.64575	2.9	c4
2.64575	-2.9	c4
2.9	2.64575	c4
-2.9	-2.64575	c4
2.9	-2.64575	c4
-2.9	2.64575	c4
2.5	3.1225	c4
-2.5	-3.1225	c4
2.5	-3.1225	c4
-2.5	3.1225	c4
3.1225	2.5	c4
-3.1225	-2.5	c4
-3.1225	2.5	c4
3.1225	-2.5	c4
1.7	3.62077	c4
1.7	-3.62077	c4
-1.7	3.62077	c4
-1.7	-3.62077	c4
3.62077	1.7	c4
-3.62077	1.7	c4
3.62077	-1.7	c4
-3.62077	-1.7	c4
3.5	1.5	c4
-3.5	1.5	c4
3.5	1.5	c4
-3.5	1.5	c4
1.5	3.5	c4
1.5	-3.5	c4
1.5	3.5	c4
1.5	-3.5	c4
2.55	2.7	c4
-2.55	-2.7	c4
-2.55	2.7	c4
2.55	-2.7	c4
2.7	2.55	c4
-2.7	-2.55	c4
2.7	-2.55	c4
-2.7	2.55	c4
3.6	2	c4
-3.6	-2	c4
3.6	-2	c4
-3.6	2	c4
2	3.6	c4
-2	-3.6	c4
-2	3.6	c4
2	-3.6	c4
-3	0	c3
3	0	c3
0	3	c3
0	-3	c3
2.5	1.65831	c3
-2.5	1.65831	c3
2.5	-1.65831	c3
-2.5	-1.65831	c3
1.65831	2.5	c3
1.65831	-2.5	c3
-1.65831	2.5	c3
-1.65831	-2.5	c3
2	2.23607	c3
2	-2.23607	c3
-2	-2.23607	c3
-2	2.23607	c3
2.23607	2	c3
-2.23607	2	c3
-2.23607	-2	c3
2.23607	-2	c3
1.5	2.59808	c3
-1.5	2.59808	c3
1.5	-2.59808	c3
-1.5	-2.59808	c3
